timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
362692850,inf,0,0,0,0,0,0,0,0,0,1
363695410,inf,0,0,0,0,0,0,0,0,0,1
364695441,inf,0,0,0,0,0,0,0,0,0,1
365697721,inf,0,0,0,0,0,0,0,0,0,1
366698310,inf,0,0,0,0,0,0,0,0,0,1
367700303,inf,0,0,0,0,0,0,0,0,0,1
368701806,inf,0,0,0,0,0,0,0,0,0,1
369703287,inf,0,0,0,0,0,0,0,0,0,1
370704452,inf,0,0,0,0,0,0,0,0,0,1
371710039,inf,0,0,0,0,0,0,0,0,1,1
372712912,inf,0,0,0,0,0,0,0,0,1,1
373716688,inf,0,0,0,0,0,0,0,0,1,1
374720673,inf,0,0,0,0,0,0,0,0,1,1
375722350,inf,0,0,0,0,0,0,0,0,0,1
376722500,inf,0,0,0,0,0,0,0,1,1,1
377722856,inf,0,0,0,0,0,0,0,0,1,1
378727100,inf,0,0,0,0,0,0,0,0,0,1
379728098,inf,0,0,0,0,0,0,0,0,0,1
380732291,inf,0,0,0,0,0,0,0,0,0,1
382732755,inf,0,0,0,0,0,0,0,0,0,1
383733180,inf,0,0,0,0,0,0,0,0,0,1
384739757,inf,0,0,0,0,0,0,0,0,0,1
385740238,inf,0,0,0,0,0,0,0,0,0,1
386740485,inf,0,0,0,0,0,0,0,0,0,1
387740745,inf,0,0,0,0,0,0,0,0,0,1
388741451,inf,0,0,0,0,0,0,0,0,0,1
389746188,inf,0,0,0,0,0,0,0,0,0,1
390750395,inf,0,0,0,0,0,0,0,0,0,1
391756826,inf,0,0,0,0,0,0,0,0,0,1
392763744,inf,0,0,0,0,0,0,0,0,0,1
393767143,inf,0,0,0,0,0,0,0,0,1,1
394774764,inf,0,0,0,0,0,0,0,0,1,1
395777781,inf,0,0,0,0,0,0,0,0,1,1
396781539,inf,0,0,0,0,0,0,0,1,1,1
397781932,inf,0,0,0,0,0,0,0,0,0,1
398790796,inf,0,0,0,0,0,0,0,0,1,1
399799613,inf,0,0,0,0,0,0,0,1,1,1
400804571,inf,0,0,0,0,0,0,0,0,0,1
401807795,inf,0,0,0,0,0,0,0,0,0,1
402815611,inf,0,0,0,0,0,0,0,0,0,1
403817264,inf,0,0,0,0,0,0,0,0,0,1
404817566,inf,0,0,0,0,0,0,0,0,0,1
405817863,inf,0,0,0,0,0,0,0,0,0,1
407818200,inf,0,0,0,0,0,0,0,0,0,1
408818531,inf,0,0,0,0,0,0,0,0,0,1
409820038,inf,0,0,0,0,0,0,0,0,0,1
410827891,inf,0,0,0,0,0,0,0,0,0,1
411828656,inf,0,0,0,0,0,0,0,0,0,1
412829815,inf,0,0,0,0,0,0,0,0,0,1
413830187,inf,0,0,0,0,0,0,0,0,0,1
414830396,inf,0,0,0,0,0,0,0,0,0,1
415830820,inf,0,0,0,0,0,0,0,0,0,1
416831551,inf,0,0,0,0,0,0,0,0,0,1
417832367,inf,0,0,0,0,0,0,0,0,0,1
418832461,inf,0,0,0,0,0,0,0,1,0,1
419832984,inf,0,0,0,0,0,0,0,0,0,1
420835844,inf,0,0,0,0,0,0,0,0,1,1
421843807,inf,0,0,0,0,0,0,0,0,1,1
422846559,inf,0,0,0,0,0,0,0,0,1,1
423846737,inf,0,0,0,0,0,0,0,0,1,1
424850606,inf,0,0,0,0,0,0,0,0,1,1
425852434,inf,0,0,0,0,0,0,0,0,0,1
426853002,inf,0,0,0,0,0,0,0,0,0,1
427853059,inf,0,0,0,0,0,0,0,0,1,1
428862008,inf,0,0,0,0,0,0,0,0,1,1
429875595,inf,0,0,0,0,0,0,0,0,1,1
430880465,inf,0,0,0,0,0,0,0,1,1,1
431888157,inf,0,0,0,0,0,0,0,0,1,1
432897344,inf,0,0,0,0,0,0,0,0,1,1
433899350,inf,0,0,0,0,0,0,0,0,1,1
434900548,inf,0,0,0,0,0,0,0,0,1,1
435906515,inf,0,0,0,0,0,0,0,0,1,1
436907034,inf,0,0,0,0,0,0,0,0,0,1
437130792,inf,0,0,0,0,1,1,0,1,0,1
438136116,inf,0,0,0,0,1,1,0,1,0,1
439146995,inf,0,0,0,0,1,1,0,1,0,1
440158711,inf,0,0,0,0,1,1,0,1,0,1
441163882,inf,0,0,0,0,1,1,0,1,0,1
442173302,inf,0,0,0,0,1,1,0,1,0,1
443173504,inf,0,0,0,0,1,1,0,1,0,1
444175301,inf,0,0,0,0,1,1,0,1,0,1
445176665,inf,0,0,0,0,1,1,0,1,0,1
446178941,inf,0,0,0,0,1,1,1,0,0,1
446484533,inf,0,1,0,0,1,1,1,0,0,1
447493658,inf,0,1,0,0,1,1,1,0,0,1
447556305,inf,0,1,1,0,1,1,1,0,0,1
447893748,inf,0,1,1,1,1,1,1,0,0,1
448195691,inf,0,1,1,1,0,0,1,0,0,1
449195808,inf,0,1,1,1,0,0,1,0,0,1
