Time (ms),humidity (%),temperature (C*)
69473,62.00,21.70,
69556,62.00,21.70,
69639,62.00,21.70,
69722,62.00,21.70,
69806,62.00,21.70,
69889,62.00,21.70,
69971,62.00,21.70,
70054,62.00,21.70,
70138,62.00,21.70,
70221,62.00,21.70,
70304,62.00,21.70,
70387,62.00,21.70,
70471,62.00,21.70,
70554,62.00,21.70,
70637,62.00,21.70,
70720,62.00,21.70,
70804,62.00,21.70,
70887,62.00,21.70,
70970,61.00,21.80,
71054,61.00,21.80,
71137,61.00,21.80,
71221,61.00,21.80,
71304,61.00,21.80,
71387,61.00,21.80,
71470,61.00,21.80,
71554,61.00,21.80,
71636,61.00,21.80,
71719,61.00,21.80,
71802,61.00,21.80,
71886,61.00,21.80,
71969,61.00,21.80,
72052,61.00,21.80,
72135,61.00,21.80,
72219,61.00,21.80,
72302,61.00,21.80,
72385,61.00,21.80,
72468,61.00,21.80,
72552,61.00,21.80,
72635,61.00,21.80,
72718,61.00,21.80,
72806,61.00,21.80,
72885,61.00,21.80,
72968,61.00,21.80,
73051,61.00,21.70,
73134,61.00,21.70,
73217,61.00,21.70,
73300,61.00,21.70,
73383,61.00,21.70,
73466,61.00,21.70,
73549,61.00,21.70,
73633,61.00,21.70,
73716,61.00,21.70,
73799,61.00,21.70,
73882,61.00,21.70,
73966,61.00,21.70,
74049,61.00,21.70,
74132,61.00,21.70,
74215,61.00,21.70,
74299,61.00,21.70,
74382,61.00,21.70,
74465,61.00,21.70,
74548,61.00,21.70,
74632,61.00,21.70,
74715,61.00,21.70,
74798,61.00,21.70,
74881,61.00,21.70,
74964,61.00,21.70,
75047,61.00,21.70,
75130,61.00,21.70,
75213,61.00,21.70,
75296,61.00,21.70,
75380,61.00,21.70,
75463,61.00,21.70,
75546,61.00,21.70,
75629,61.00,21.70,
75713,61.00,21.70,
75796,61.00,21.70,
75879,61.00,21.70,
75962,61.00,21.70,
76046,61.00,21.70,
76129,61.00,21.70,
76212,61.00,21.70,
76295,61.00,21.70,
76379,61.00,21.70,
76462,61.00,21.70,
76545,61.00,21.70,
76627,61.00,21.70,
76711,61.00,21.70,
76794,61.00,21.70,
76877,61.00,21.70,
76960,61.00,21.70,
77044,61.00,21.70,
77127,61.00,21.70,
77210,61.00,21.80,
77293,61.00,21.80,
77376,61.00,21.80,
77460,61.00,21.80,
77543,61.00,21.80,
77626,61.00,21.80,
77709,61.00,21.80,
77793,61.00,21.80,
77876,61.00,21.80,
77959,61.00,21.80,
78042,61.00,21.80,
78126,61.00,21.80,
78209,61.00,21.80,
78291,61.00,21.80,
78374,61.00,21.80,
78458,61.00,21.80,
78541,61.00,21.80,
78624,61.00,21.80,
78707,61.00,21.80,
78791,61.00,21.80,
78874,61.00,21.80,
78957,61.00,21.80,
79040,61.00,21.80,
79124,61.00,21.80,
79207,61.00,21.80,
79290,61.00,21.70,
79373,61.00,21.70,
79457,61.00,21.70,
79540,61.00,21.70,
79623,61.00,21.70,
79706,61.00,21.70,
79790,61.00,21.70,
79873,61.00,21.70,
79955,61.00,21.70,
80038,61.00,21.70,
80122,61.00,21.70,
80205,61.00,21.70,
80288,61.00,21.70,
80371,61.00,21.70,
80455,61.00,21.70,
80538,61.00,21.70,
80621,61.00,21.70,
80704,61.00,21.70,
80788,61.00,21.70,
80871,61.00,21.70,
80954,61.00,21.70,
81037,61.00,21.70,
81121,61.00,21.70,
81204,61.00,21.70,
81287,61.00,21.70,
81370,61.00,21.70,
81453,61.00,21.70,
81537,61.00,21.70,
81619,61.00,21.70,
81702,61.00,21.70,
81785,61.00,21.70,
81869,61.00,21.70,
81952,61.00,21.70,
82035,61.00,21.70,
82118,61.00,21.70,
82202,61.00,21.70,
82285,61.00,21.70,
82368,61.00,21.70,
82451,61.00,21.70,
82535,61.00,21.70,
82618,61.00,21.70,
82701,61.00,21.70,
82784,61.00,21.70,
82872,61.00,21.70,
82951,61.00,21.70,
83034,61.00,21.70,
83117,61.00,21.70,
83201,61.00,21.70,
83283,61.00,21.70,
83366,61.00,21.70,
83449,61.00,21.70,
83532,61.00,21.70,
83616,61.00,21.70,
83699,61.00,21.70,
83782,61.00,21.70,
83865,61.00,21.70,
83949,61.00,21.70,
84032,61.00,21.70,
84115,61.00,21.70,
84198,61.00,21.70,
84282,61.00,21.70,
84365,61.00,21.70,
84448,61.00,21.70,
84531,61.00,21.70,
84615,61.00,21.70,
84700,61.00,21.70,
84781,61.00,21.70,
84864,61.00,21.70,
84947,61.00,21.70,
85030,61.00,21.70,
85113,61.00,21.70,
85196,61.00,21.70,
85280,61.00,21.70,
85363,61.00,21.70,
85446,61.00,21.70,
85529,60.00,21.80,
85612,60.00,21.80,
85696,60.00,21.80,
85779,60.00,21.80,
85862,60.00,21.80,
85945,60.00,21.80,
86029,60.00,21.80,
86112,60.00,21.80,
86195,60.00,21.80,
86278,60.00,21.80,
86362,60.00,21.80,
86445,60.00,21.80,
86528,60.00,21.80,
86610,60.00,21.80,
86694,60.00,21.80,
86777,60.00,21.80,
86860,60.00,21.80,
86943,60.00,21.80,
87027,60.00,21.80,
87110,60.00,21.80,
87193,60.00,21.80,
87276,60.00,21.80,
87360,60.00,21.80,
87443,60.00,21.80,
87526,60.00,21.80,
87609,59.00,21.80,
87692,59.00,21.80,
87776,59.00,21.80,
87859,59.00,21.80,
87942,59.00,21.80,
88025,59.00,21.80,
88109,59.00,21.80,
88192,59.00,21.80,
88274,59.00,21.80,
88357,59.00,21.80,
88441,59.00,21.80,
88524,59.00,21.80,
88607,59.00,21.80,
88690,59.00,21.80,
88774,59.00,21.80,
88857,59.00,21.80,
88940,59.00,21.80,
89023,59.00,21.80,
89107,59.00,21.80,
89190,59.00,21.80,
89273,59.00,21.80,
89356,59.00,21.80,
89440,59.00,21.80,
89523,59.00,21.80,
89606,59.00,21.80,
89689,59.00,21.70,
89772,59.00,21.70,
89856,59.00,21.70,
89938,59.00,21.70,
90021,59.00,21.70,
90104,59.00,21.70,
90188,59.00,21.70,
90271,59.00,21.70,
90354,59.00,21.70,
90437,59.00,21.70,
90521,59.00,21.70,
90604,59.00,21.70,
90687,59.00,21.70,
90770,59.00,21.70,
90854,59.00,21.70,
90937,59.00,21.70,
91020,59.00,21.70,
91103,59.00,21.70,
91187,59.00,21.70,
91270,59.00,21.70,
91353,59.00,21.70,
91436,59.00,21.70,
91520,59.00,21.70,
91602,59.00,21.70,
91685,59.00,21.70,
91768,59.00,21.70,
91852,59.00,21.70,
91935,59.00,21.70,
92018,59.00,21.70,
92101,59.00,21.70,
92185,59.00,21.70,
92268,59.00,21.70,
92351,59.00,21.70,
92434,59.00,21.70,
92518,59.00,21.70,
92601,59.00,21.70,
92684,59.00,21.70,
92767,59.00,21.70,
92855,59.00,21.70,
92934,59.00,21.70,
93017,59.00,21.70,
93100,59.00,21.70,
93184,59.00,21.70,
93266,59.00,21.70,
93349,59.00,21.70,
93432,59.00,21.70,
93516,59.00,21.70,
93599,59.00,21.70,
93682,59.00,21.70,
93765,59.00,21.70,
93849,59.00,21.60,
93932,59.00,21.60,
94015,59.00,21.60,
94098,59.00,21.60,
94181,59.00,21.60,
94265,59.00,21.60,
94348,59.00,21.60,
94431,59.00,21.60,
94514,59.00,21.60,
94598,59.00,21.60,
94681,59.00,21.60,
94764,59.00,21.60,
94846,59.00,21.60,
94930,59.00,21.60,
95013,59.00,21.60,
95096,59.00,21.60,
95179,59.00,21.60,
95263,59.00,21.60,
95346,59.00,21.60,
95429,59.00,21.60,
95512,59.00,21.60,
95596,59.00,21.60,
95679,59.00,21.60,
95762,59.00,21.60,
95845,59.00,21.60,
95929,59.00,21.50,
96012,59.00,21.50,
96095,59.00,21.50,
96178,59.00,21.50,
96261,59.00,21.50,
96345,59.00,21.50,
96428,59.00,21.50,
96510,59.00,21.50,
96593,59.00,21.50,
96677,59.00,21.50,
96760,59.00,21.50,
96843,59.00,21.50,
96926,59.00,21.50,
97010,59.00,21.50,
97093,59.00,21.50,
97176,59.00,21.50,
97259,59.00,21.50,
97343,59.00,21.50,
97426,59.00,21.50,
97509,59.00,21.50,
97592,59.00,21.50,
97676,59.00,21.50,
97759,59.00,21.50,
97842,59.00,21.50,
97925,59.00,21.50,
98009,59.00,21.50,
98092,59.00,21.50,
98174,59.00,21.50,
98257,59.00,21.50,
98340,59.00,21.50,
98424,59.00,21.50,
