timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
305088523,0,0,1,0,0,0,0,0
305588555,0,0,1,0,0,0,0,0
306091631,0,0,1,0,0,0,0,0
306592522,0,0,1,0,0,0,0,0
307099628,0,0,1,0,0,0,0,0
307600916,0,0,1,0,0,0,0,0
308102628,0,0,1,0,0,0,0,0
308604083,0,0,1,0,0,0,0,0
309115088,0,0,1,0,0,0,0,0
309617631,0,0,1,0,0,0,0,0
310126611,0,0,1,0,0,0,0,0
310632515,0,0,1,0,0,0,0,0
311142484,0,0,1,0,0,0,0,0
311642659,0,0,1,0,0,0,0,0
312147883,0,0,1,0,0,0,0,0
312653071,0,0,1,0,0,0,0,0
313162537,0,0,1,0,0,0,0,0
313663741,0,0,1,0,0,0,0,0
314173514,0,0,1,0,0,0,0,0
314684208,0,0,1,0,0,0,0,0
315194519,0,0,1,0,0,0,0,0
315702028,0,0,1,0,0,0,0,0
316202769,0,0,1,0,0,0,0,0
316706503,0,0,1,0,0,0,0,0
317215516,0,0,1,0,0,0,0,0
317725527,0,0,1,0,0,0,0,0
318228594,0,0,1,0,0,0,0,0
318733194,0,0,1,0,0,0,0,0
319233688,0,0,1,0,0,0,0,0
319738516,0,0,1,0,0,0,0,0
320246501,0,0,1,0,0,0,0,0
320746608,0,0,1,0,0,0,0,0
321252541,0,0,1,0,0,0,0,0
321756068,0,0,1,0,0,0,0,0
322255517,0,0,1,0,0,0,0,0
322755596,0,0,1,0,0,0,0,0
323263483,0,0,1,0,0,0,0,0
323765554,0,0,1,0,0,0,0,0
324266616,0,0,1,0,0,0,0,0
324776836,0,0,1,0,0,0,0,0
325279735,0,0,1,0,0,0,0,0
325781496,0,0,1,0,0,0,0,0
326284547,0,0,1,0,0,0,0,0
326795488,0,0,1,0,0,0,0,0
327304516,0,0,1,0,0,0,0,0
327805167,0,0,1,0,0,0,0,0
328305606,0,0,1,0,0,0,0,0
328807518,0,0,1,0,0,0,0,0
329311554,0,0,1,0,0,0,0,0
329816678,0,0,1,0,0,0,0,0
330320965,0,0,1,0,0,0,0,0
330821202,0,0,1,0,0,0,0,0
331321679,0,0,1,0,0,0,0,0
331832689,0,0,1,0,0,0,0,0
332342683,0,0,1,0,0,0,0,0
332843531,0,0,1,0,0,0,0,0
333354520,0,0,1,0,0,0,0,0
333859491,0,0,1,0,0,0,0,0
