Time (ms),humidity (%),temperature (C*)
441455,51.00,22.10,
441539,51.00,22.10,
441623,51.00,22.10,
441707,51.00,22.10,
441792,51.00,22.10,
441876,51.00,22.10,
441960,51.00,22.10,
442044,51.00,22.10,
442129,51.00,22.10,
442213,52.00,22.00,
442298,52.00,22.00,
442382,52.00,22.00,
442466,52.00,22.00,
442551,52.00,22.00,
442635,52.00,22.00,
442719,52.00,22.00,
442803,52.00,22.00,
442897,52.00,22.00,
442972,52.00,22.00,
443056,52.00,22.00,
443140,52.00,22.00,
443225,52.00,22.00,
443309,52.00,22.00,
443393,52.00,22.00,
443476,52.00,22.00,
443561,52.00,22.00,
443645,52.00,22.00,
443729,52.00,22.00,
443814,52.00,22.00,
443898,52.00,22.00,
443982,52.00,22.00,
444066,52.00,22.00,
444151,52.00,22.00,
444235,52.00,22.10,
444319,52.00,22.10,
444403,52.00,22.10,
